_id,createdAt,direction,entry,exit,startIndex,startDate,totalDays
N7x3ZdJZ4A7epT9vG,1429400715135,up,43.80,44.91,91,1004400000,4
FsswxPqf9Nr5hXnTr,1429400763002,up,43.23,42.30,101,1005609600,4
s8bttRqP5SrK7ptHw,1429400786281,up,13.31,13.39,91,1266969600,7
X8cfCucG2GxzaLZFr,1429400811324,up,14.00,14.20,110,1269302400,10
mYoG2zJAAkKwJiWTw,1429400835938,up,47.35,46.74,91,1010534400,1
SxHZzfZM8utBsR6nu,1429400841614,down,46.75,44.60,93,1010707200,12
A5F8MtvzM2t2Ba3a3,1429400927809,up,66.25,64.01,92,1214265600,3
qqtrcxE7YFhN5cTJM,1429400946513,down,59.83,55.70,103,1215648000,2
EwKiLpLM7hZXqQydb,1429400959660,down,68.37,71.84,111,1216684800,1
dfRLZAHws3LvGoXpA,1429400978626,up,31.93,32.24,91,1410393600,2
C8MBFbMk3cWruuQvF,1429400996248,down,30.99,29.80,103,1411948800,3
kzKhXrGa73zWSBt7N,1429401439346,up,60.32,61.97,98,1238716800,5
trWrjWS7XBJfh8NLh,1429401463999,down,60.20,56.36,106,1239840000,4
F55XvyKXwWtbNBFpD,1429401500361,down,62.60,65.74,112,1240531200,3
jb8aNAatyot2ffzkk,1429401514521,down,66.31,72.04,118,1241395200,0
RqdnFmYdwnQpYvbef,1429401558021,up,47.19,45.54,95,1219795200,4
mjjf9R7dHAApuBoBb,1429401567129,up,45.70,43.18,102,1220832000,8
T3nyLDGY2JMc3kho2,1429401615776,down,5.47,5.59,94,1283126400,15
hT2bdN4xo4oksZusc,1429401640029,down,5.58,6.18,112,1285286400,2
sGgtAPozEsXwpDmJX,1429405550283,up,16.91,23.20,91,1265932800,53
E3fWgSjMxWnDDFPS8,1429405683238,up,36.52,35.66,92,1185494400,3
hYarHsmbJ9Qjhzd6H,1429405709505,up,33.42,38.40,104,1187049600,32
fGPgp3HDex5ZGMkT8,1429405804373,down,28.50,29.49,91,1317168000,18
PGuz62sFJZWs87Mmw,1429405832569,down,27.87,27.45,115,1320105600,20
phdktJStRRiCAMTEo,1429405879550,up,118.18,120.40,91,1363132800,14
rCMyfb5Rmv6pX2nhY,1429405930296,up,34.18,34.74,107,1415577600,25
bFeAwPvZPf3oABei3,1429405990186,up,17.11,15.05,91,1230854400,6
zDoswwHunsRjmbzs9,1429406013540,up,15.80,15.11,101,1232064000,23
iAthawENo9QP5t7ww,1429406041794,up,15.49,17.76,128,1235606400,37
4X4idWDn3qSBGsjGb,1429406109389,up,83.39,84.02,96,1404950400,1
xDvZ3ZiRcDYZk7yyF,1429406131648,down,81.81,81.59,101,1405555200,2
iTHW7gYfKMujJy7f7,1429406143440,up,82.26,80.44,105,1406073600,2
bHga6bpXmMYCFo4R2,1429406152109,up,80.41,79.25,110,1406678400,6
xwKsJxKHEtFp3ccj6,1429406171982,up,81.06,81.51,123,1408320000,25
cfRGPqtbGn7hJj7yB,1429406227984,up,27.20,26.10,92,1073260800,9
DbodyiKs4KyH5ApJL,1429406245727,down,27.10,26.50,106,1075075200,2
6SckZfZ9YEeYJZKEd,1429406254708,down,26.02,27.66,112,1075766400,9
3SK3hwRrwfZHnqJGF,1429406272008,up,27.55,27.68,125,1077494400,13
S8A2ScgqtfJGkjpmv,1429406286710,up,27.85,28.21,142,1079481600,11
88kaFnCQ7kC3FETwW,1429406309160,up,27.68,28.85,161,1081900800,10
cujMY3Da5ootreGwL,1429406362358,up,27.80,29.00,91,986169600,5
jqtmN8S3zqAMGfa8m,1429406382587,up,28.35,28.80,99,987033600,8
MN2xJMHcQFNb2y7Xm,1429406404474,up,28.37,29.25,112,988761600,0
Bttd78JChcjWfmKr2,1429406414150,up,28.41,28.09,116,989280000,6
7J93PnB7hWfNbHBdw,1429406430564,up,24.82,24.66,132,991267200,8
