_id,createdAt,direction,entry,exit,startIndex,startDate,stop,ticker,totalDays
umqfoHczHktsLdybM,1431567530427,up,57.85,59.97,168,1029715200,54,BWA,5
E4CGZZHCdDe6wspWP,1431567608075,down,46.90,44.71,217,1035763200,50,BWA,4
AQsdsTfvMoFwTPJ5g,1431567724750,down,64.55,62.16,143,1024358400,67,CAH,8
pFJru9h5nFde2WNmT,1431567822291,up,56.28,55,130,1192665600,52,AMGN,17
wYG7cgq7GQP8rwKqW,1431567916768,down,47.27,45.81,174,1198108800,51,AMGN,12
qy9kTCgA4aCmJfaqf,1431568006939,up,50.93,51.32,134,1144886400,48.5,QCOM,5
E4eCXXPC5kcTZ6RZP,1431568097480,up,40.85,42.37,133,1135036800,39,XEC,8
DkRRcEmNYeuEvjtMz,1431568244502,up,62.93,59.6,130,1252972800,58,UNP,9
JitrW4pshLTvJgF4p,1431568298843,up,60.32,58.2,140,1254182400,58,UNP,2
mtEd7nhjLSS2PGLEB,1431568370362,up,42.87,43.72,138,1310515200,40,MHFI,9
HmHB7QuYvfwDEGehn,1431568448578,up,33.84,34.88,133,1368489600,32,RSG,7
ZwX4zWeiEBJYh9pda,1431568532146,down,55.86,57.8,137,1126742400,58,CLX,2
NDKGczGaCBxn8mRva,1431568555016,down,52.50,54.4,150,1128384000,56.4,CLX,12
NB3XDMsrZ8y894ns5,1431568640913,down,41.52,42.8,130,1135900800,43.6,PNW,5
8deoBtDGfL7pe6g56,1431568688380,up,43.03,43.44,144,1137974400,41.5,PNW,5
6NzhYHDNdstmemBRH,1431568760052,up,39.46,40.18,130,1214179200,37,ACN,7
sEjRAfa2od2gdMkFA,1431568846459,down,75.99,79.8,149,1047513600,80,IBM,3
WEtJ8jjn2TBtNio45,1431568903389,up,47.70,47.8,130,1404950400,47,RHI,2
qkcwrpy5MviTk4vh3,1431568943372,up,37.29,38.22,135,1165363200,36.2,PCL,10
AyeapqqJDX4ZA3EZw,1431569064555,down,38.25,35.92,130,1196380800,40.4,SNDK,15
djMw4a64CzgjqwjJa,1431569232414,up,40.15001,40.99,130,1017014400,39,TMK,15
C4tX5u2hax9CReec4,1431569383811,up,92.83,100.12,141,1367798400,90.5,LH,18
dHWN2sSmDbtAvcg2Y,1431606505744,down,23.70,24.2,133,1001548800,26,UNM,19
Kh5e84t9DQBmdvWG2,1431606696232,up,25.16,26.67,175,1006819200,23,UNM,20
CHahxnWNq6vZHPfQp,1431606894094,up,57.50,57.66,130,997401600,55.5,EQR,5
3w8sbrR4Lj6qvQnQu,1431607103622,up,20.43,20.95,130,1406505600,19,ETFC,5
5TrXm8wFrRjXip8x7,1431607181172,up,23.50,22.1,170,1411430400,21.5,ETFC,7
28pfERSNLfuFJzhAm,1431654230034,down,15.25,13.41,136,1184803200,16,BSX,11
bFfabzMGegD5h2ZSD,1431654467418,down,78.49,75.19,138,1311724800,82,SHW,8
PNJwZNipFPe2c64Ns,1431797516477,up,34.29,33.2,130,1147392000,32.88,BK,4
LKM7cHtzPDKGHLFAm,1431797559841,up,33.55,32.4,144,1149206400,32,BK,5
x6GZCx3pvbkb7ft47,1431797599909,up,32.27,31.35,170,1152576000,31,BK,5
q2mDjcmShahZhrxEK,1431797658714,down,38.60,36.48,142,1035158400,44,EMN,9
sNu4jLfYaqjzrWu7k,1431797757929,down,36.98,39.6,167,1038182400,40,EMN,4
4cT2cXCRErs7t6wXB,1431797949224,up,253.17999,261.25,132,1395014400,239,CF,14
6tJdcYpg5ApTHLcch,1431802790916,down,243.09,241.66,156,1398038400,258,CF,16
CWfsJmS7NeZdb2rwg,1431802989966,up,12.95,12.48,130,986515200,11.5,MOS,11
wjXBcrzMs58wEmnu8,1431803171901,down,7.96,7.77,130,1141257600,8.6,F,4
5kKSjDLihfurPcswv,1431803236676,down,8.05,7.72,152,1144022400,8.51,F,5
GrKLWoEB5R4EavL4W,1431815588637,up,25.12,27.27,136,1060041600,23,INTC,15
QB8zvBMaigfhArKRL,1431815727634,up,20.15,20.69,130,1355875200,18,DHI,18
3478Loq926XoL5AZk,1431815930913,down,30.05,32.8,140,1001980800,33,PNR,3
kzPt9Tg5CrqCJhrtK,1431815952985,down,31.25,33.6,145,1002585600,34,PNR,3
YxLtZ2c4a8mPQzd2b,1431816002360,up,7.25,6.84,130,1251936000,6.7,FTR,5
JJ3r4B8wRYusxQHrN,1431816059434,up,7.46,7.16,162,1255996800,7,FTR,5
ikKKiLwYtKAQxhkf2,1431816117803,up,55.69,53.9,132,1144281600,53,COST,7
bGyEXRrDXm6xabCZP,1431816176641,down,11.64,11.43,130,1349395200,12.7,SPLS,9
fcHCSWNjPhXgKiaNk,1431816328250,up,65.64,63.98,130,1365465600,63,AXP,7
i5XvaafkJu3niDakn,1431816401857,up,33.57,34.62,162,1358380800,32,WMB,5
Yr6vaTNL2B3j475BM,1431816480614,up,34.53,36.69,191,1362096000,32.5,WMB,19
MmbBzWkxQrTcThAHe,1431816682889,up,150.47,149,165,1406764800,142,BCR,15
bDyqv6LsmmSEKhTcY,1431816781392,down,15.53,15.7,130,1159315200,16.6,OI,10
jnvwwte6Qs6EBhcvB,1431816856503,down,202.56,201.75,148,1398729600,210,ICE,7
KQFBzPvibSmFTvPYR,1431816973290,up,719.54999,735,132,1039564800,700,GHC,12
JmDMNvC56wwr8Zkdx,1431817119896,up,40.63,38.4,166,1192665600,38,ACN,3
FtE79gYFz8Sp7kPej,1431817178974,up,73.43,75.48,130,1366243200,71.5,ZMH,10
uWsiZvs6mhHotHhmy,1431817312886,up,78.68,76.2,165,1370563200,75,ZMH,5
BibQE9iqaGSf8WMZG,1431819579695,down,21.47,22.6,130,1138060800,23,VRSN,3
Z7xgMGbyqzawaq9EZ,1431819619665,up,23.70,24.47,142,1139443200,22.7,VRSN,8
9v4BMcrD6CsAi2Wdp,1431819718899,up,23.42,23.8,169,1142899200,22,VRSN,10
ZtufQ4XtHbzgCwMex,1431819861132,down,42.00,43.8,160,952300800,44,HAL,2
g9fQATZhK3dbu6KPM,1431819894751,up,41.5625,38.3125,130,954806400,38,M,9
u5zSmBzqnZbf54w7N,1431819980358,up,55.99,59.68,130,1267142400,52,CMI,8
DBGRbaz5DJ8jGq779,1431822698201,down,33.84,30.2,130,1412553600,34.5,GM,10
orApLHaEGcfjrPBMM,1431824324971,up,58.32,62.27,130,1247788800,51.5,NBL,13
h3x7AADtm4D2EHZJm,1431824510544,down,37.32,37.41,130,1104883200,39.5,PBCT,13
Ti5gXAHwK47B9bJNp,1431824644401,up,37.64001,37.4,152,1107734400,36.2,PBCT,11
pCdbNEWSCPcEkEswG,1431824705162,up,41.49999,40.2,177,1110844800,40,PBCT,3
e4hzbDmtveKpFF895,1431824733356,up,39.39999,39.2,139,1072828800,36,DVA,19
vChQMYryM9TNBLcMe,1431824854148,up,16.00,15,131,1233187200,14,NTAP,9
AhTLqydqm2PGecjRu,1431824956360,down,28.48,30,144,1216771200,30,ZION,1
